NODE_ID,NODE_NAME,x,y
"3000218000",오미교,126.7524060004,36.8629398804
"3070202100",엑스포교차로,126.5882843611,35.9482256930
"3110128300",남북5교차로,126.6083313417,35.8237543419
"3110128500",남북5교차로,126.6094809241,35.8245983524
"3110130900",남북6교차로,126.5992108573,35.8472544549
"3190104500",수조IC,126.6067476617,35.7186840873
"3190110200",남북2교차로,126.6201616567,35.7435625975
"2180150000",덕은동455-12,126.8675640763,37.5783650260
"1680197300",불로동260-45,126.6984379062,37.6099088528
"2170146900",대부북동1563-4,126.5619647210,37.2454816538
"3510365000",이인리산67-5,129.3140250780,36.0647030694
"3530181300",최소노드배치점,127.9440641516,35.8932618962
"4140094800",용잠리797-7,128.6801906332,35.2806114793
"3000194500",가마못교차로,126.7032676511,36.8986539519
"3000194100",가마못교차로,126.7027883976,36.8989200522
"3000195100",가마못교차로,126.7030581222,36.8992908862
"3000195000",기지시리2교동측,126.7024001730,36.8997846110
"3000185200",원당교차로,126.6415979333,36.9040661278
"3000199400",부곡교차로,126.6895092372,36.9180920122
"3000202900",송산교차로,126.6848884051,36.9298505472
"3000201700",송산교차로,126.6813460259,36.9300903770
"3000202500",송산교차로,126.6848067094,36.9295903121
"3000206300",가곡리386-45,126.6709510657,36.9768996197
"1390035300",구평고개사거리,128.9831474721,35.0848314715
"4140095100",덕천교차로,128.6813825380,35.2797966098
"3000210700",용두교차로,126.5951613016,36.9251036812
"3000212900",중방교차로,126.7557180349,36.8362391853
"3000217100",북창교,126.7612419238,36.8525840142
"3070196700",남북9교차로,126.5878352632,35.9033901075
"3070201000",엑스포교차로,126.5870274348,35.9479788162
"3190105400",수조교차로,126.6085514637,35.7176005668
"3190109400",주상천2교서측,126.6119046885,35.7471742205
"3190110100",남북2교차로,126.6187722987,35.7422286198
"3190111700",최소노드배치점,126.5924844672,35.7947382068
"3190112100",남북3교차로,126.6212804845,35.7760772022
"3190113400",남북3교차로,126.6236078302,35.7789275421
"3190115300",회전교차로,126.6250716134,35.7943058191
"2450048700",수지자이2차A교차로,127.0656716817,37.3191447633
"2220321300",남양주시-포천시,127.2457195097,37.7645308425
"2220322100",수동휴게소하이패스IC,127.2913954103,37.7289713612
"2220322300",수동휴게소하이패스IC,127.2914613939,37.7289954803
"2220322800",최소노드배치점,127.2539049475,37.7593477732
"2220307700",조안나들목교차로,127.3364664079,37.5915857546
"2320000400",고촌IC,126.7923960426,37.5872077460
"2310327700",마산교차로,127.2161838446,36.9676972088
"2310327800",마산교차로,127.2163086970,36.9676480941
"2310327900",마산교차로,127.2160746969,36.9678924537
"2310328000",마산교차로,127.2162243866,36.9678231635
"2310328100",마산교차로,127.2163491102,36.9677721365
"2310328200",마산교차로,127.2161366137,36.9679885964
"2310328300",마산교차로,127.2162655233,36.9679286246
"2310328400",마산교차로,127.2165656915,36.9677004299
"2310328500",마산교차로,127.2163845025,36.9678782825
"2310328600",마산교차로,127.2166054138,36.9678039841
"2220312100",최소노드배치점,127.3328454086,37.6349077775
"2220306800",조안TG,127.3357306682,37.5901236539
"2220306900",조안TG,127.3357976549,37.5900705355
"2220312400",금남터널동측,127.3516392603,37.6343020583
"2220312000",최소노드배치점,127.3328598121,37.6348002657
"2220317900",수동IC,127.3289192997,37.6890822710
"2220318000",수동IC,127.3289078790,37.6894910471
"2220318100",수동IC,127.3289942239,37.6906329886
"2220320700",최소노드배치점,127.3128688027,37.7097217399
"2220315300",달뫼IC,127.3269791275,37.6558438523
"2220315600",달뫼IC,127.3273501476,37.6560710283
"2220313900",월산교남측,127.3258798324,37.6522729770
"2220314000",월산교남측,127.3261682539,37.6522886149
"2220314100",월산교북측,127.3260420343,37.6530862469
"2220314200",월산교북측,127.3262986108,37.6530544568
"1680199800",백석동59-5,126.6748734422,37.5789183788
"1680199900",백석동57-8,126.6749803708,37.5789228358
"1680203500",당하동765-14,126.6856882200,37.5844025601
"1680203600",당하동산192-1,126.6831631813,37.5867095017
"1680203700",당하동산192-11,126.6832752277,37.5866962443
"1680203800",당하동산192-1,126.6831704016,37.5867987683
"1680203900",당하동산192-11,126.6832829855,37.5867871400
"1300004700",연안부두삼거리,129.0375565162,35.1030228380
"1320009600",초량동45-39,129.0500050712,35.1194055512
"3500307200",인주자원,129.3358849421,35.9821475445
"2610151500",장열리4-7,128.7075533511,37.4675820778
"2882096300",탕정교차로,127.0384197057,36.7954882290
"2882096800",탕정교차로,127.0386395548,36.7957859012
"2882096900",탕정교차로,127.0387565394,36.7957825029
"2882097000",탕정교차로,127.0390746990,36.7955638744
"2882080100",갈산리839,127.0637579566,36.7907221660
